text,actual,predicted,actual_label,predicted_label,prob_normal,prob_toxic,correct
지금 이 글에 페미욕만 하시는 30-40대 남성분들피해망상도 정신질환의 하나입니다 충분히 고치실 수 있으니 병원에서 치료받으십시오저는 욕하는 게 아니라 걱정돼서 하는 말입니다.,1,0,toxic,normal,0.5674121,0.43258786,False
혐오스럽다 ㄹㅇ,1,0,toxic,normal,0.50695515,0.49304485,False
"신이시어,공산독재 후진국,3류국가 중공을 벌하소서",1,0,toxic,normal,0.54428685,0.4557131,False
5:24  개솔,1,0,toxic,normal,0.5253146,0.47468537,False
중국 : 성능 확실하네,1,0,toxic,normal,0.5602745,0.43972552,False
클럽을 가지마세요 그럼,1,0,toxic,normal,0.5026852,0.49731484,False
서프러제트 탄압하던 20세기 남자들이랑 사상공유하는 21세기의 한남들.. 대단합니다,1,0,toxic,normal,0.5148339,0.48516604,False
미국방고등연구소에서 백신에 GPS같은거 넣었다고 했지. 5G로 통제 사회 넘어가려고 감기로 펜데믹 이벤트 하는거란다. 이벤트 하려고 시뮬레이션도 했지. Event201 구굴링해봐. 다 나와. 이제 노예 인식표를 받은자와 못받은자로 구분한다,1,0,toxic,normal,0.5203402,0.4796598,False
로힝야 사태도 영국 일본 작품이군ㅡㅡ우리나라 포함 동아시아에 모든 분쟁의 씨앗을 뿌리고 도망간 악의 축인 두나라ㅡㅡ,1,0,toxic,normal,0.5224459,0.47755408,False
최송죽님은  고집만  버리면  성공함. ,1,0,toxic,normal,0.56321585,0.43678418,False
어쩔 건데?,1,0,toxic,normal,0.5395711,0.46042895,False
저런 아가들이 지금은 예쁘나 커선 어떤 모습으로 변모할지 알수 없다는게 함정이지 그 피해를 고스란히 겪고있는 유럽을 보면,1,0,toxic,normal,0.5506192,0.44938082,False
"여자 사위, 남자 며느리 반대!! 건가법 개정 반대합니다.",1,0,toxic,normal,0.546193,0.45380697,False
아 징그러 말투,1,0,toxic,normal,0.5460564,0.45394364,False
나이 들어서 절대 본 받지 말아야 할 인물 ---- 최재형,1,0,toxic,normal,0.55713856,0.4428614,False
좋은 말 혔데이.저출산문제는 무조건 난민 받아들이고 끝이데이.,1,0,toxic,normal,0.5163846,0.48361543,False
"한마디로 ''아군""이다",1,0,toxic,normal,0.57715,0.42285004,False
냄새좋아 킁킁 ㅋㅋㅋ,1,0,toxic,normal,0.53789794,0.462102,False
안녕하세요 돌연변이입니다,1,0,toxic,normal,0.58840895,0.41159105,False
남국의원님 잘 참으셨네요. 어린것들 귓방망이 한 대 안 갈긴거 당행입니다,1,0,toxic,normal,0.5159318,0.4840682,False
오또케오또케 괜찮아 여경이니까 구경만하자,1,0,toxic,normal,0.56760556,0.43239444,False
한교협은 개신교 단체 아닙니다. 진보색 강한 동성애옹호 정교회단체입니다. 여러분이 개독으로 욕하는 개신교의 대표단체는 '한기총'이고 차별금지법을 절대 반대하며 모든 성소수자를 증오합니다.,1,0,toxic,normal,0.5143315,0.48566845,False
알라 : 난 너희를 전혀 알지못한다..,1,0,toxic,normal,0.5849543,0.41504565,False
난민 기사 볼 때 마다 혈압 오른다...,1,0,toxic,normal,0.5630882,0.43691182,False
왕따문가랑 완전 차원이 다르네요,1,0,toxic,normal,0.53556,0.46444005,False
ㅋㅋㅋㅋ 하태하태~ HOT해?!?!?!,1,0,toxic,normal,0.52000034,0.47999966,False
먼 계시가 무하메드 개인이 편한대로 오네요. 성경이 오역이 되었다는데 꾸란이 해석과 계시란 의미로 바뀐게 더 많네요. 성경에 이런말이 없어서 천만 다행입니다.,1,0,toxic,normal,0.5856453,0.41435462,False
미국이 2000조나 들여 아프간을 보호해준거죠ㅎㅎ,1,0,toxic,normal,0.52763826,0.4723618,False
성경  구약에서 유래된것같아요. 살생을 하는것도  죽는동물한테 굉장히  미안한데  그토록  잔인하게  죽여야 하다니 그들도 할랄방식으로 되져봐야 그~고통을  알겠지~~ 무량수불~~~,1,0,toxic,normal,0.5184869,0.48151305,False
젠더갈등의 원인: 페미니즘,1,0,toxic,normal,0.50955325,0.49044675,False
절대 안댐,1,0,toxic,normal,0.5321194,0.46788058,False
흑우: 음메~,1,0,toxic,normal,0.5650845,0.43491548,False
퀴어축제 영상 하나만 찾아서 봐보세요 저걸 정말 지지해 줘야되는건지,1,0,toxic,normal,0.5336747,0.46632528,False
